[55807, 76565833]    True    [0, 1]
[316429, 6961417]    True    [2, 0]
[316957, 3803473]    True    [2, 0]
[319031, 3828361]    True    [0, 0]
[325309, 8132701]    True    [2, 1]
[327799, 3059449]    True    [0, 1]
[328837, 9865081]    True    [2, 1]
[329773, 4287037]    True    [2, 0]
[332767, 3993193]    True    [0, 1]
[334057, 5177869]    True    [2, 0]
[334099, 39089467]    True    [1, 1]
[335057, 22113697]    True    [3, 4]
[335653, 3020869]    True    [2, 0]
[337541, 4050481]    True    [2, 2]
[337543, 17889727]    True    [0, 1]
[338683, 3048139]    True    [1, 1]
[340909, 5454529]    True    [2, 1]
[341087, 4434119]    True    [0, 0]
[343831, 5845111]    True    [0, 1]
[349381, 6638221]    True    [2, 0]
[350983, 3158839]    True    [0, 1]
[354661, 6738541]    True    [2, 0]
[356533, 4991449]    True    [2, 0]
[357613, 3576121]    True    [2, 0]
[357733, 3219589]    True    [2, 1]
[358327, 7082209]    True    [0, 1]
[364471, 5831521]    True    [0, 1]
[366199, 3295783]    True    [0, 1]
[367261, 37093261]    True    [2, 1]
[368227, 6259843]    True    [1, 1]
[368653, 5161129]    True    [2, 1]
[368947, 2951569]    True    [1, 1]
[371941, 2975521]    True    [2, 0]
[372901, 11559901]    True    [2, 1]
[374089, 9165157]    True    [2, 1]
[374173, 5986753]    True    [2, 1]
[375451, 7509001]    True    [1, 1]
[376891, 3015121]    True    [1, 1]
[377491, 3397411]    True    [1, 1]
[378941, 36378241]    True    [2, 2]
[380503, 3044017]    True    [0, 1]
[380623, 13702393]    True    [0, 1]
[381181, 3049441]    True    [2, 0]
[381301, 4194301]    True    [2, 1]
[383023, 8043463]    True    [0, 1]
[384581, 4010621]    True    [2, 2]
[385069, 26569693]    True    [2, 1]
[389117, 2723813]    True    [2, 2]
[390829, 12506497]    True    [2, 0]
[392477, 49844453]    True    [2, 2]
[393187, 47182321]    True    [1, 1]
[394549, 45373021]    True    [2, 0]
[394727, 4736713]    True    [0, 0]
[399277, 3992761]    True    [2, 1]
[399571, 4794841]    True    [1, 1]
[400657, 4206889]    True    [2, 0]
[401669, 16870057]    True    [2, 2]
[403621, 3228961]    True    [2, 1]
[404309, 16980937]    True    [2, 2]
[405241, 19046281]    True    [2, 2]
[405401, 2837801]    True    [0, 3]
[406789, 17085097]    True    [2, 1]
[406807, 6915703]    True    [0, 1]
[407723, 9785329]    True    [1, 0]
[409477, 12284281]    True    [2, 0]
[412831, 11559241]    True    [0, 1]
[415861, 3742741]    True    [2, 0]
[416107, 3328849]    True    [1, 1]
[416491, 6663841]    True    [1, 1]
[416851, 3334801]    True    [1, 1]
[417493, 5427397]    True    [2, 1]
[418771, 3350161]    True    [1, 1]
[418981, 7960621]    True    [2, 1]
[420221, 5042641]    True    [2, 2]
[422563, 10564051]    True    [1, 1]
[422789, 5073457]    True    [2, 2]
[423299, 132068977]    True    [1, 0]
[423991, 10599751]    True    [0, 1]
[425237, 2976653]    True    [2, 2]
[425911, 11925481]    True    [0, 1]
[427001, 5124001]    True    [2, 3]
[429943, 3439537]    True    [0, 1]
[430279, 26246959]    True    [0, 1]
[431269, 2587609]    True    [2, 0]
[432301, 7349101]    True    [2, 0]
[432503, 5622527]    True    [0, 0]
[432559, 3893023]    True    [0, 1]
[433033, 2814709]    True    [2, 0]
[433087, 9094807]    True    [0, 1]
[436547, 15715657]    True    [1, 0]
[436957, 15730417]    True    [2, 1]
[438329, 2629969]    True    [2, 3]
[438341, 10958501]    True    [2, 2]
[438589, 2631529]    True    [2, 0]
[439853, 34308457]    True    [2, 2]
[440159, 5281897]    True    [0, 0]
[441907, 9280027]    True    [1, 1]
[442501, 19470001]    True    [2, 0]
[443011, 115182601]    True    [1, 1]
[444341, 5332081]    True    [2, 2]
[444487, 7111777]    True    [0, 1]
[445589, 5347057]    True    [2, 2]
[446189, 3123317]    True    [2, 2]
[448939, 2244691]    True    [1, 1]
[449173, 6737581]    True    [2, 0]
[450893, 10821409]    True    [2, 2]
[450991, 2254951]    True    [0, 1]
[453559, 2267791]    True    [0, 1]
[455227, 3641809]    True    [1, 1]
[455437, 14573953]    True    [2, 1]
[455443, 3643537]    True    [1, 1]
[456037, 3192253]    True    [2, 1]
[456821, 14161421]    True    [2, 2]
[456881, 3198161]    True    [3, 4]
[457087, 3656689]    True    [0, 1]
[457229, 3200597]    True    [2, 2]
[457711, 32955121]    True    [0, 1]
[458599, 7337569]    True    [0, 1]
[458891, 5506681]    True    [1, 0]
[459091, 6121201]    True    [1, 1]
[460709, 22574693]    True    [2, 2]
[463649, 3245537]    True    [4, 5]
[464371, 20896651]    True    [1, 1]
[465373, 3567853]    True    [2, 1]
[467317, 3738529]    True    [2, 1]
[468049, 76759873]    True    [1, 3]
[469769, 2818609]    True    [2, 3]
[470059, 2350291]    True    [1, 1]
[470179, 2350891]    True    [1, 1]
[470201, 3291401]    True    [2, 3]
[470443, 3763537]    True    [1, 1]
[470731, 2353651]    True    [1, 1]
[471283, 2356411]    True    [1, 1]
[471391, 13198921]    True    [0, 1]
[471403, 2985547]    True    [1, 1]
[472111, 2360551]    True    [0, 1]
[472817, 93617569]    True    [3, 4]
[473141, 2838841]    True    [2, 2]
[473381, 2840281]    True    [2, 2]
[473503, 2367511]    True    [0, 1]
[474163, 2370811]    True    [1, 1]
[474307, 6165979]    True    [1, 1]
[474769, 2848609]    True    [3, 3]
[474907, 2374531]    True    [1, 1]
[475141, 2375701]    True    [2, 0]
[475621, 3329341]    True    [2, 1]
[475933, 13326097]    True    [2, 1]
[476743, 6197647]    True    [0, 1]
[476851, 62658091]    True    [1, 1]
[477229, 2863369]    True    [2, 0]
[477359, 5728297]    True    [0, 0]
[477497, 2864977]    True    [2, 3]
[477671, 17673791]    True    [0, 0]
[478339, 2391691]    True    [1, 1]
[478801, 3830401]    True    [1, 1]
[479813, 2878873]    True    [2, 2]
[479861, 3359021]    True    [2, 2]
[481589, 2889529]    True    [2, 2]
[481909, 2409541]    True    [2, 0]
[482719, 8206207]    True    [0, 1]
[483541, 3384781]    True    [2, 1]
[484639, 2423191]    True    [0, 1]
[485347, 2426731]    True    [1, 1]
[486509, 5838097]    True    [2, 2]
[486821, 6328661]    True    [2, 2]
[486949, 2921689]    True    [2, 1]
[487391, 11321831]    True    [0, 0]
[487649, 2925889]    True    [4, 5]
[488207, 17575417]    True    [0, 0]
[489679, 5876137]    True    [0, 1]
[490591, 2452951]    True    [0, 1]
[492013, 2460061]    True    [2, 0]
[492967, 5093983]    True    [0, 1]
[493219, 14303323]    True    [1, 1]
[495067, 2475331]    True    [1, 1]
[495751, 3509911]    True    [0, 1]
[495773, 2974633]    True    [2, 2]
[496229, 2977369]    True    [2, 2]
[496901, 2981401]    True    [2, 2]
[497261, 3480821]    True    [2, 2]
[497479, 2487391]    True    [0, 1]
[498403, 2492011]    True    [1, 1]
[499189, 17970769]    True    [2, 1]
[500671, 2503351]    True    [0, 1]
[501001, 2004001]    True    [2, 2]
[501229, 2171989]    True    [2, 1]
[501271, 4010161]    True    [0, 1]
[504871, 2524351]    True    [0, 1]
[504967, 8079457]    True    [0, 1]
[505327, 4042609]    True    [0, 1]
[505501, 4751701]    True    [2, 0]
[506083, 2024329]    True    [1, 1]
[506101, 3036601]    True    [2, 1]
[506381, 3038281]    True    [2, 2]
[507103, 4056817]    True    [0, 1]
[507691, 2538451]    True    [1, 1]
[508103, 6605327]    True    [0, 0]
[508213, 10164241]    True    [2, 0]
[510989, 3065929]    True    [2, 2]
[511669, 11256697]    True    [2, 0]
[511963, 2559811]    True    [1, 1]
[514543, 2058169]    True    [0, 1]
[514903, 2574511]    True    [0, 1]
[515357, 6184273]    True    [2, 2]
[516349, 3098089]    True    [2, 0]
[517229, 3620597]    True    [2, 2]
[518047, 6734599]    True    [0, 1]
[519121, 2595601]    True    [3, 0]
[519733, 6410029]    True    [2, 1]
[520621, 3123721]    True    [2, 1]
[522787, 2613931]    True    [1, 1]
[522853, 2091409]    True    [2, 0]
[523357, 4186849]    True    [2, 1]
[525001, 8137501]    True    [2, 0]
[525949, 2103793]    True    [2, 1]
[526951, 7082209]    True    [0, 1]
[528217, 3169297]    True    [2, 2]
[528763, 2115049]    True    [1, 1]
[529183, 4233457]    True    [0, 1]
[529349, 19056529]    True    [2, 2]
[529381, 3882121]    True    [2, 0]
[529531, 2118121]    True    [1, 1]
[530339, 13258451]    True    [1, 0]
[530539, 25996363]    True    [1, 1]
[531263, 6906407]    True    [0, 0]
[531521, 6378241]    True    [4, 6]
[533821, 4194301]    True    [2, 1]
[535033, 14980897]    True    [2, 2]
[536971, 17720011]    True    [1, 1]
[538651, 3830401]    True    [1, 1]
[539167, 6469993]    True    [0, 1]
[539167, 9165823]    True    [0, 1]
[539347, 2696731]    True    [1, 1]
[539533, 2697661]    True    [2, 1]
[540703, 8651233]    True    [0, 1]
[540823, 2704111]    True    [0, 1]
[541711, 2708551]    True    [0, 1]
[542021, 3252121]    True    [2, 2]
[542323, 2169289]    True    [1, 1]
[542533, 3255193]    True    [2, 1]
[542719, 7778959]    True    [0, 1]
[542747, 39620459]    True    [1, 0]
[542837, 3257017]    True    [2, 2]
[543061, 2172241]    True    [2, 0]
[544651, 4357201]    True    [1, 1]
[545189, 26714213]    True    [2, 2]
[545437, 13272277]    True    [2, 0]
[546103, 2184409]    True    [0, 1]
[546151, 6553801]    True    [0, 1]
[546523, 4918699]    True    [1, 1]
[546919, 6563017]    True    [0, 1]
[546977, 7110689]    True    [4, 5]
[547291, 2736451]    True    [1, 1]
[547453, 3284713]    True    [2, 1]
[548143, 2192569]    True    [0, 1]
[548459, 13162993]    True    [1, 0]
[550691, 6608281]    True    [1, 0]
[552031, 2760151]    True    [0, 1]
[552833, 3316993]    True    [6, 7]
[553093, 2765461]    True    [2, 1]
[554233, 12747337]    True    [1, 2]
[558319, 6699817]    True    [0, 1]
[558421, 5025781]    True    [2, 0]
[559219, 2236873]    True    [1, 1]
[559421, 3915941]    True    [2, 2]
[560863, 2804311]    True    [0, 1]
[561079, 20759887]    True    [0, 1]
[562147, 11805067]    True    [1, 1]
[562201, 5715701]    True    [2, 2]
[562283, 5783473]    True    [1, 0]
[562613, 54010753]    True    [2, 2]
[562663, 2250649]    True    [0, 1]
[562901, 3940301]    True    [2, 2]
[563869, 3383209]    True    [2, 1]
[564271, 1918519]    True    [0, 1]
[564523, 11290441]    True    [1, 1]
[565069, 2260273]    True    [2, 0]
[565813, 2263249]    True    [2, 0]
[566971, 11906371]    True    [1, 1]
[567829, 2839141]    True    [2, 1]
[568231, 143762191]    True    [0, 1]
[568303, 2841511]    True    [0, 1]
[571261, 3998821]    True    [2, 0]
[571579, 1878043]    True    [1, 1]
[572683, 12026323]    True    [1, 1]
[573763, 11475241]    True    [1, 1]
[574159, 2296633]    True    [0, 1]
[574597, 9768133]    True    [2, 1]
[575203, 4601617]    True    [1, 1]
[576029, 3456169]    True    [2, 2]
[576031, 20737081]    True    [0, 1]
[577349, 4041437]    True    [2, 2]
[577957, 1733869]    True    [2, 1]
[578191, 5203711]    True    [0, 1]
[578957, 3473737]    True    [2, 2]
[579701, 6956401]    True    [2, 2]
[580357, 4062493]    True    [2, 1]
[580759, 9872887]    True    [0, 1]
[581029, 3486169]    True    [2, 0]
[581071, 2324281]    True    [0, 1]
[581773, 2908861]    True    [2, 1]
[582011, 14550251]    True    [1, 0]
[582223, 2328889]    True    [0, 1]
[582509, 3495049]    True    [2, 2]
[583147, 51316849]    True    [1, 1]
[583207, 6998473]    True    [0, 1]
[583519, 5251663]    True    [0, 1]
[583789, 2335153]    True    [2, 0]
[583981, 1751941]    True    [2, 1]
[585289, 67308121]    True    [0, 2]
[585341, 7024081]    True    [2, 2]
[586051, 9962851]    True    [1, 1]
[586189, 8792821]    True    [2, 1]
[586837, 5868361]    True    [2, 0]
[586921, 7043041]    True    [2, 0]
[587551, 19389151]    True    [0, 1]
[588061, 2352241]    True    [2, 1]
[588437, 4119053]    True    [2, 2]
[589181, 2003213]    True    [2, 2]
[589231, 10016911]    True    [0, 1]
[590077, 3933841]    True    [2, 1]
[591089, 7093057]    True    [3, 4]
[591779, 7101337]    True    [1, 0]
[591847, 10061383]    True    [0, 1]
[592621, 1777861]    True    [2, 0]
[594211, 2376841]    True    [1, 1]
[595159, 2380633]    True    [0, 1]
[595381, 4167661]    True    [2, 0]
[595927, 7151113]    True    [0, 1]
[596179, 2384713]    True    [1, 1]
[598159, 2990791]    True    [0, 1]
[598711, 5388391]    True    [0, 1]
[598867, 7785259]    True    [1, 1]
[600101, 3600601]    True    [2, 2]
[600949, 3004741]    True    [2, 1]
[600949, 9014221]    True    [2, 1]
[601357, 2061793]    True    [2, 0]
[601831, 2567809]    True    [0, 1]
[602551, 2048671]    True    [0, 1]
[605893, 1817677]    True    [2, 0]
[606341, 11520461]    True    [2, 2]
[607147, 4857169]    True    [1, 1]
[607261, 10323421]    True    [2, 1]
[607357, 4251493]    True    [2, 1]
[607933, 1823797]    True    [2, 1]
[608431, 2433721]    True    [0, 1]
[608743, 2434969]    True    [0, 1]
[609461, 4266221]    True    [2, 2]
[609517, 1828549]    True    [2, 1]
[610439, 29911463]    True    [0, 0]
[610541, 1657181]    True    [2, 2]
[611263, 7082209]    True    [0, 1]
[611323, 3056611]    True    [1, 1]
[611557, 1834669]    True    [2, 1]
[611803, 3059011]    True    [1, 1]
[612317, 4286213]    True    [2, 2]
[612823, 2451289]    True    [0, 1]
[613337, 4293353]    True    [0, 3]
[614773, 1844317]    True    [2, 0]
[615289, 2461153]    True    [2, 1]
[615751, 21304951]    True    [0, 1]
[615799, 44337457]    True    [0, 1]
[616051, 1642801]    True    [1, 1]
[616261, 6778861]    True    [2, 1]
[617971, 7415641]    True    [1, 1]
[618979, 25378099]    True    [1, 1]
[622091, 29860321]    True    [1, 0]
[622663, 12453241]    True    [0, 1]
[623269, 3116341]    True    [2, 0]
[623677, 1871029]    True    [2, 0]
[624319, 27469993]    True    [0, 1]
[624487, 4995889]    True    [0, 1]
[625489, 3127441]    True    [3, 3]
[625627, 3128131]    True    [1, 1]
[625939, 10640947]    True    [1, 1]
[627269, 3763609]    True    [2, 2]
[627811, 55247281]    True    [1, 1]
[628267, 3141331]    True    [1, 1]
[630907, 3154531]    True    [1, 1]
[631171, 2524681]    True    [1, 1]
[631711, 5053681]    True    [0, 1]
[632503, 2530009]    True    [0, 1]
[632647, 20244673]    True    [0, 1]
[633013, 10128193]    True    [2, 0]
[635731, 2670067]    True    [1, 1]
[636931, 9129331]    True    [1, 1]
[638179, 7658137]    True    [1, 1]
[638767, 5110129]    True    [0, 1]
[638839, 2555353]    True    [0, 1]
[639091, 3763531]    True    [1, 1]
[639151, 14956111]    True    [0, 1]
[639439, 20462017]    True    [0, 1]
[639451, 5115601]    True    [1, 1]
[640069, 2560273]    True    [2, 0]
[641411, 3440291]    True    [1, 0]
[641413, 2565649]    True    [2, 0]
[643099, 10932667]    True    [1, 1]
[643453, 12869041]    True    [2, 0]
[643651, 10298401]    True    [1, 1]
[643661, 4505621]    True    [2, 2]
[644359, 5799223]    True    [0, 1]
[644617, 1933849]    True    [1, 2]
[645907, 8396779]    True    [1, 1]
[645941, 1550257]    True    [2, 2]
[647131, 3235651]    True    [1, 1]
[648061, 1944181]    True    [2, 1]
[648133, 5185057]    True    [2, 0]
[648433, 1945297]    True    [3, 3]
[648763, 3243811]    True    [1, 1]
[648887, 38933161]    True    [0, 0]
[648997, 3893977]    True    [2, 0]
[649147, 42194491]    True    [1, 1]
[649261, 2380621]    True    [2, 0]
[649639, 5767999]    True    [0, 1]
[649813, 5198497]    True    [2, 1]
[649981, 3249901]    True    [2, 0]
[650359, 5853223]    True    [0, 1]
[650821, 2603281]    True    [2, 1]
[650873, 117156961]    True    [2, 3]
[651029, 3906169]    True    [2, 2]
[651323, 31263457]    True    [1, 0]
[651769, 10754173]    True    [2, 1]
[652033, 2608129]    True    [7, 7]
[652291, 3107971]    True    [1, 1]
[652507, 3262531]    True    [1, 1]
[652723, 2610889]    True    [1, 1]
[653311, 3266551]    True    [0, 1]
[653761, 110354689]    True    [5, 5]
[655111, 3275551]    True    [0, 1]
[655559, 16388951]    True    [0, 0]
[655561, 1835569]    True    [2, 0]
[655579, 6118729]    True    [1, 1]
[655651, 36716401]    True    [1, 1]
[655901, 5715701]    True    [2, 2]
[656371, 5907331]    True    [1, 1]
[658069, 3290341]    True    [2, 0]
[658111, 5922991]    True    [0, 1]
[658219, 2632873]    True    [1, 1]
[658873, 1976617]    True    [2, 0]
[659251, 42192001]    True    [1, 1]
[659317, 3296581]    True    [2, 1]
[659467, 3297331]    True    [1, 1]
[659539, 3297691]    True    [1, 1]
[659611, 1832251]    True    [1, 1]
[659653, 3298261]    True    [2, 1]
[659899, 34314697]    True    [1, 1]
[660661, 5285281]    True    [2, 0]
[661189, 6611881]    True    [2, 1]
[661393, 2645569]    True    [2, 3]
[661477, 1984429]    True    [2, 1]
[663631, 5309041]    True    [0, 1]
[663821, 20578421]    True    [2, 2]
[663869, 19916041]    True    [2, 2]
[664549, 2658193]    True    [2, 1]
[664579, 2436787]    True    [1, 1]
[665053, 13966093]    True    [2, 1]
[668209, 2672833]    True    [3, 2]
[669271, 8700511]    True    [0, 1]
[669301, 12716701]    True    [2, 1]
[669371, 3212977]    True    [1, 0]
[669913, 2009737]    True    [1, 1]
[670261, 4021561]    True    [2, 1]
[671269, 2685073]    True    [2, 0]
[671431, 8728591]    True    [0, 1]
[672283, 8739667]    True    [1, 1]
[673381, 32397061]    True    [2, 0]
[674161, 2696641]    True    [0, 3]
[674741, 4048441]    True    [2, 2]
[678581, 2442889]    True    [2, 2]
[679171, 16979251]    True    [1, 1]
[679297, 4075777]    True    [6, 5]
[679603, 2718409]    True    [1, 1]
[680443, 3402211]    True    [1, 1]
[681221, 1634929]    True    [2, 2]
[681493, 61334281]    True    [2, 0]
[682519, 6142663]    True    [0, 1]
[682657, 1706641]    True    [3, 3]
[682723, 3413611]    True    [1, 1]
[683407, 5239447]    True    [0, 1]
[683821, 2051461]    True    [2, 0]
[683821, 6838201]    True    [2, 0]
[684493, 4106953]    True    [2, 1]
[684949, 4109689]    True    [2, 1]
[685339, 3426691]    True    [1, 1]
[685631, 50050991]    True    [0, 0]
[685723, 2742889]    True    [1, 1]
[687061, 1511533]    True    [2, 1]
[687737, 4126417]    True    [2, 3]
[688591, 5508721]    True    [0, 1]
[689851, 12034051]    True    [1, 1]
[690607, 3453031]    True    [0, 1]
[692191, 1845841]    True    [0, 1]
[694387, 3471931]    True    [1, 1]
[694651, 6251851]    True    [1, 1]
[695239, 8342857]    True    [0, 1]
[695323, 1622419]    True    [1, 1]
[698263, 9077407]    True    [0, 1]
[698371, 3352177]    True    [1, 1]
[698849, 4193089]    True    [4, 5]
[698923, 9085987]    True    [1, 1]
[700103, 9101327]    True    [0, 0]
[700429, 6303853]    True    [2, 0]
[700591, 9107671]    True    [0, 1]
[701299, 2805193]    True    [1, 1]
[701719, 3508591]    True    [0, 1]
[702173, 13341269]    True    [2, 2]
[702199, 1638463]    True    [0, 1]
[702913, 2811649]    True    [5, 5]
[703033, 2109097]    True    [0, 2]
[703081, 5005261]    True    [2, 1]
[704269, 1878049]    True    [2, 0]
[705643, 2822569]    True    [1, 1]
[705751, 11997751]    True    [0, 1]
[706117, 2118349]    True    [2, 0]
[706159, 8473897]    True    [0, 1]
[707071, 14141401]    True    [0, 1]
[707467, 9197059]    True    [1, 1]
[707561, 4952921]    True    [2, 3]
[708311, 76497481]    True    [0, 0]
[708583, 2834329]    True    [0, 1]
[708823, 2567809]    True    [0, 1]
[709117, 1418233]    True    [2, 0]
[709123, 2836489]    True    [1, 1]
[709871, 9228311]    True    [0, 0]
[709981, 1419961]    True    [2, 0]
[709981, 6389821]    True    [2, 0]
[710389, 1420777]    True    [2, 1]
[710557, 1421113]    True    [2, 0]
[710911, 11058601]    True    [0, 1]
[711097, 1422193]    True    [0, 2]
[711131, 17067121]    True    [1, 0]
[711509, 4269049]    True    [2, 2]
[711973, 4271833]    True    [2, 0]
[712219, 3561091]    True    [1, 1]
[713311, 2853241]    True    [0, 1]
[713509, 1427017]    True    [2, 1]
[714487, 37153273]    True    [0, 1]
[714907, 3574531]    True    [1, 1]
[715159, 6674809]    True    [0, 1]
[715397, 1495829]    True    [2, 2]
[715453, 2146357]    True    [2, 0]
[715877, 5011133]    True    [2, 2]
[716299, 1562833]    True    [1, 1]
[716351, 9312551]    True    [0, 0]
[716479, 2865913]    True    [0, 1]
[717883, 5743057]    True    [1, 1]
[718169, 108443369]    True    [2, 3]
[719119, 3595591]    True    [0, 1]
[719791, 2879161]    True    [0, 1]
[720053, 4320313]    True    [2, 2]
[721117, 1835569]    True    [2, 0]
[721261, 5048821]    True    [2, 1]
[721351, 3847201]    True    [0, 1]
[722467, 3612331]    True    [1, 1]
[722749, 1445497]    True    [2, 0]
[722983, 2891929]    True    [0, 1]
[723491, 12878123]    True    [1, 0]
[723493, 2170477]    True    [2, 1]
[723901, 3619501]    True    [2, 0]
[724099, 11585569]    True    [1, 1]
[724597, 5072173]    True    [2, 0]
[724621, 6231733]    True    [2, 0]
[725293, 5802337]    True    [2, 0]
[725341, 1846321]    True    [2, 0]
[725437, 1450873]    True    [2, 0]
[725479, 76565833]    True    [0, 1]
[726331, 15252931]    True    [1, 1]
[726701, 2403701]    True    [2, 2]
[727063, 15268303]    True    [0, 1]
[727711, 2910841]    True    [0, 1]
[728069, 8736817]    True    [2, 2]
[728131, 2912521]    True    [1, 1]
[728269, 1456537]    True    [2, 1]
[728383, 5767999]    True    [0, 1]
[728941, 6560461]    True    [2, 1]
[729451, 2917801]    True    [1, 1]
[729577, 1459153]    True    [1, 2]
[729601, 4377601]    True    [7, 8]
[730603, 1948273]    True    [1, 1]
[730901, 1607981]    True    [2, 2]
[732133, 2928529]    True    [2, 1]
[732271, 14645401]    True    [0, 1]
[732541, 5860321]    True    [2, 0]
[732997, 1465993]    True    [2, 0]
[733813, 2935249]    True    [2, 1]
[734389, 4406329]    True    [2, 0]
[734659, 6611923]    True    [1, 1]
[735421, 1912093]    True    [2, 1]
[735571, 3677851]    True    [1, 1]
[736937, 4421617]    True    [2, 3]
[737083, 1965553]    True    [1, 1]
[738109, 1476217]    True    [2, 0]
[738961, 2364673]    True    [3, 3]
[739273, 8131993]    True    [2, 0]
[739771, 2959081]    True    [1, 1]
[741031, 2964121]    True    [0, 1]
[741547, 4943641]    True    [1, 1]
[741781, 1483561]    True    [2, 1]
[742699, 11883169]    True    [1, 1]
[742897, 2476321]    True    [3, 3]
[743179, 6688603]    True    [1, 1]
[743269, 6689413]    True    [2, 0]
[745471, 5963761]    True    [0, 1]
[745931, 1790233]    True    [1, 0]
[745951, 5967601]    True    [0, 1]
[745981, 2237941]    True    [2, 1]
[745999, 2441449]    True    [0, 1]
[746309, 4477849]    True    [2, 2]
[747421, 8221621]    True    [2, 1]
[747889, 1495777]    True    [0, 3]
[749137, 2247409]    True    [1, 3]
[749197, 3496249]    True    [2, 0]
[749461, 1498921]    True    [2, 0]
[750157, 12752653]    True    [2, 0]
[750791, 2552687]    True    [0, 0]
[750803, 18770051]    True    [1, 0]
[751021, 1502041]    True    [2, 1]
[751909, 4511449]    True    [2, 0]
[752569, 3386557]    True    [2, 1]
[753979, 27143209]    True    [1, 1]
[754549, 1509097]    True    [2, 1]
[754981, 6039841]    True    [2, 0]
[755203, 3776011]    True    [1, 1]
[755869, 1511737]    True    [2, 0]
[756271, 1966303]    True    [0, 1]
[756421, 45385201]    True    [2, 0]
[757807, 4330321]    True    [0, 1]
[758111, 6216503]    True    [0, 0]
[758671, 13959529]    True    [0, 1]
[758941, 1517881]    True    [2, 1]
[759727, 3798631]    True    [0, 1]
[761711, 28183271]    True    [0, 0]
[761779, 1777483]    True    [1, 1]
[762319, 2567809]    True    [0, 1]
[762499, 3049993]    True    [1, 1]
[762877, 3814381]    True    [2, 1]
[763261, 1526521]    True    [2, 1]
[764591, 1835017]    True    [0, 0]
[764989, 1529977]    True    [2, 1]
[764989, 5354917]    True    [2, 1]
[765307, 6122449]    True    [1, 1]
[765487, 6123889]    True    [0, 1]
[765949, 1531897]    True    [2, 1]
[766333, 3831661]    True    [2, 1]
[767051, 18409201]    True    [1, 0]
[767317, 1534633]    True    [2, 1]
[767323, 9975187]    True    [1, 1]
[767773, 11516581]    True    [2, 0]
[767827, 24570433]    True    [1, 1]
[767869, 3071473]    True    [2, 0]
[768461, 5379221]    True    [2, 2]
[768613, 2305837]    True    [2, 1]
[768727, 4868599]    True    [0, 1]
[769231, 12307681]    True    [0, 1]
[769579, 28474387]    True    [1, 1]
[770587, 9247033]    True    [1, 1]
[771031, 1799071]    True    [0, 1]
[771181, 6169441]    True    [2, 1]
[771461, 5400221]    True    [2, 2]
[772441, 1931101]    True    [2, 0]
[773821, 1547641]    True    [2, 1]
[774223, 3096889]    True    [0, 1]
[774811, 4907131]    True    [1, 1]
[775063, 1808479]    True    [0, 1]
[775933, 3103729]    True    [2, 1]
[775933, 4655593]    True    [2, 1]
[776969, 5438777]    True    [2, 3]
[777199, 3108793]    True    [0, 1]
[777731, 9332761]    True    [1, 0]
[777919, 3889591]    True    [0, 1]
[778051, 3830401]    True    [1, 1]
[778633, 1751923]    True    [1, 1]
[778879, 3894391]    True    [0, 1]
[778933, 1298221]    True    [2, 1]
[778933, 3115729]    True    [2, 1]
[779011, 3895051]    True    [1, 1]
[779827, 3899131]    True    [1, 1]
[779887, 7082209]    True    [0, 1]
