[19687, 5767999]    True    [0, 1]
[103141, 206281]    True    [2, 0]
[103669, 518341]    True    [2, 0]
[103687, 518431]    True    [0, 1]
[103981, 623881]    True    [2, 0]
[104681, 251233]    True    [2, 3]
[104761, 145501]    True    [2, 0]
[105319, 421273]    True    [0, 1]
[105529, 263821]    True    [2, 1]
[105701, 181201]    True    [2, 2]
[105751, 423001]    True    [0, 1]
[107033, 2033609]    True    [2, 3]
[107713, 359041]    True    [5, 5]
[107741, 129289]    True    [2, 2]
[108421, 216841]    True    [2, 0]
[108457, 379597]    True    [2, 0]
[108533, 651193]    True    [2, 2]
[108631, 260713]    True    [0, 1]
[109567, 876529]    True    [0, 1]
[109789, 219577]    True    [2, 0]
[110437, 220873]    True    [2, 0]
[111253, 333757]    True    [2, 0]
[112069, 1008613]    True    [2, 1]
[112621, 225241]    True    [2, 1]
[112939, 451753]    True    [1, 1]
[113437, 189061]    True    [2, 0]
[113749, 227497]    True    [2, 1]
[114157, 253681]    True    [2, 0]
[114643, 152857]    True    [1, 1]
[114973, 344917]    True    [2, 0]
[115429, 1731421]    True    [2, 0]
[115831, 270271]    True    [0, 1]
[116131, 647011]    True    [1, 1]
[116257, 232513]    True    [4, 4]
[116731, 583651]    True    [1, 1]
[116791, 280297]    True    [0, 1]
[116929, 467713]    True    [5, 5]
[117281, 1524641]    True    [4, 5]
[117721, 235441]    True    [0, 2]
[117973, 353917]    True    [2, 1]
[118453, 592261]    True    [2, 1]
[118543, 474169]    True    [0, 1]
[118861, 2020621]    True    [2, 0]
[119101, 238201]    True    [2, 1]
[120103, 480409]    True    [0, 1]
[120511, 2048671]    True    [0, 1]
[120661, 241321]    True    [2, 1]
[121189, 242377]    True    [2, 1]
[121309, 242617]    True    [2, 1]
[121421, 457661]    True    [2, 2]
[122053, 488209]    True    [2, 0]
[122173, 366517]    True    [2, 1]
[122251, 1956001]    True    [1, 1]
[122449, 489793]    True    [3, 3]
[122557, 980449]    True    [2, 1]
[123701, 742201]    True    [2, 2]
[123997, 247993]    True    [2, 1]
[124951, 199921]    True    [0, 1]
[125053, 375157]    True    [2, 1]
[125053, 1125469]    True    [2, 1]
[125101, 208501]    True    [2, 0]
[125141, 150169]    True    [2, 2]
[125221, 1377421]    True    [2, 1]
[125407, 961447]    True    [0, 1]
[126547, 1012369]    True    [1, 1]
[126691, 160681]    True    [1, 1]
[126733, 506929]    True    [2, 1]
[127453, 382357]    True    [2, 0]
[127609, 1531297]    True    [2, 1]
[127849, 767089]    True    [2, 2]
[128021, 588893]    True    [2, 2]
[128311, 641551]    True    [0, 1]
[128941, 202621]    True    [2, 1]
[128971, 816811]    True    [1, 1]
[129277, 2197693]    True    [2, 1]
[129763, 264331]    True    [1, 1]
[129841, 259681]    True    [2, 3]
[130069, 260137]    True    [2, 0]
[130201, 316201]    True    [1, 2]
[131059, 305803]    True    [1, 1]
[131477, 920333]    True    [2, 2]
[132109, 528433]    True    [2, 1]
[132607, 176809]    True    [0, 1]
[133069, 266137]    True    [2, 0]
[133349, 800089]    True    [2, 2]
[133387, 1600633]    True    [1, 1]
[134989, 674941]    True    [2, 1]
[135277, 270553]    True    [2, 1]
[135859, 2173729]    True    [1, 1]
[137191, 548761]    True    [0, 1]
[137251, 402601]    True    [1, 1]
[137251, 549001]    True    [1, 1]
[137383, 1236439]    True    [0, 1]
[137413, 1511533]    True    [2, 1]
[138493, 1107937]    True    [2, 0]
[138569, 969977]    True    [1, 3]
[138727, 184969]    True    [0, 1]
[139457, 976193]    True    [5, 6]
[139591, 697951]    True    [0, 1]
[139987, 186649]    True    [1, 1]
[140191, 560761]    True    [0, 1]
[140269, 280537]    True    [2, 0]
[140617, 281233]    True    [2, 0]
[141613, 708061]    True    [2, 1]
[141941, 312269]    True    [2, 2]
[142963, 1143697]    True    [1, 1]
[144031, 720151]    True    [0, 1]
[144667, 192889]    True    [1, 1]
[145771, 262387]    True    [1, 1]
[145861, 291721]    True    [2, 1]
[145963, 1167697]    True    [1, 1]
[146173, 438517]    True    [2, 0]
[146203, 584809]    True    [1, 1]
[146581, 1026061]    True    [2, 0]
[146701, 440101]    True    [2, 0]
[146801, 176161]    True    [3, 4]
[147517, 295033]    True    [2, 1]
[147541, 295081]    True    [2, 1]
[147673, 221509]    True    [2, 1]
[148201, 333451]    True    [1, 1]
[148609, 1139329]    True    [6, 6]
[148627, 743131]    True    [1, 1]
[148723, 594889]    True    [1, 1]
[148747, 743731]    True    [1, 1]
[148873, 260527]    True    [0, 1]
[148957, 3277033]    True    [2, 0]
[149027, 1937339]    True    [1, 0]
[149143, 596569]    True    [0, 1]
[149309, 1791697]    True    [2, 2]
[149491, 747451]    True    [1, 1]
[149893, 449677]    True    [2, 0]
[150151, 218401]    True    [0, 1]
[150151, 1458601]    True    [0, 1]
[150559, 602233]    True    [0, 1]
[150961, 905761]    True    [3, 3]
[152419, 1807243]    True    [1, 1]
[152563, 1220497]    True    [1, 1]
[153499, 613993]    True    [1, 1]
[153941, 923641]    True    [2, 2]
[154933, 774661]    True    [2, 0]
[154937, 1084553]    True    [1, 3]
[155717, 1090013]    True    [2, 2]
